name,price,rr
"POCO C50 (Country Green, 32 GB)","₹5,749","20,562 Ratings & 919 Reviews"
"POCO C50 (Royal Blue, 32 GB)","₹6,499","7,209 Ratings & 459 Reviews"
"vivo T2x 5G (Glimmer Black, 128 GB)","₹13,999","7,445 Ratings & 282 Reviews"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹13,999","7,445 Ratings & 282 Reviews"
"realme C35 (Glowing Black, 128 GB)","₹12,999","16,365 Ratings & 993 Reviews"
"POCO C55 (Cool Blue, 128 GB)","₹9,499","6,499 Ratings & 333 Reviews"
"REDMI 10 (Shadow Black, 64 GB)","₹9,499","2,18,444 Ratings & 13,620 Reviews"
"POCO C50 (Country Green, 32 GB)","₹6,499","7,209 Ratings & 459 Reviews"
"REDMI 10 (Pacific Blue, 128 GB)","₹10,999","29,986 Ratings & 2,080 Reviews"
Cellecor E3,"₹1,061",53 Ratings & 2 Reviews
"POCO C55 (Forest Green, 128 GB)","₹9,499","6,499 Ratings & 333 Reviews"
Nokia 105 PLUS,"₹1,399","8,618 Ratings & 596 Reviews"
"MOTOROLA G32 (Mineral Gray, 64 GB)","₹10,499","36,527 Ratings & 3,418 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)","₹5,549","99,924 Ratings & 5,366 Reviews"
"realme C30 (Denim Black, 32 GB)","₹6,499","47,755 Ratings & 3,011 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)","₹5,549","99,924 Ratings & 5,366 Reviews"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹14,490","4,167 Ratings & 369 Reviews"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹14,490","4,167 Ratings & 369 Reviews"
"realme C30 (Lake Blue, 32 GB)","₹5,999","99,924 Ratings & 5,366 Reviews"
"Infinix HOT 20 5G (Blaster Green, 64 GB)","₹11,499","6,652 Ratings & 549 Reviews"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹15,499","26,093 Ratings & 2,415 Reviews"
"realme C30 (Denim Black, 32 GB)","₹5,999","99,924 Ratings & 5,366 Reviews"
"realme 10 (Rush Black, 128 GB)","₹15,499","2,310 Ratings & 152 Reviews"
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,499","14,275 Ratings & 1,251 Reviews"
"POCO M4 Pro (Yellow, 128 GB)","₹13,499","16,534 Ratings & 1,399 Reviews"
